carat,cut,cut_ord,color,clarity,clarity_ord,price
0.51,Premium,4,F,VS1,4,1749
2.25,Fair,1,G,I1,1,7069
0.7,Very Good,3,E,VS2,5,2757
0.47,Good,2,F,VS1,4,1243
0.3,Ideal,5,G,VVS1,7,789
0.33,Ideal,5,D,SI1,3,728
2.01,Very Good,3,G,SI1,3,18398
0.51,Ideal,5,F,VVS2,6,2203
1.7,Premium,4,D,SI1,3,15100
0.53,Premium,4,D,VS2,5,1857
0.39,Premium,4,H,SI1,3,834
1.5,Very Good,3,H,SI1,3,7708
1.0,Premium,4,E,VS2,5,6272
1.29,Ideal,5,J,VS1,4,5676
2.01,Good,2,D,SI2,2,16776
1.13,Ideal,5,G,VS1,4,7404
0.7,Ideal,5,I,SI2,2,1702
0.38,Very Good,3,I,VS1,4,606
1.17,Ideal,5,H,SI2,2,5423
1.51,Premium,4,F,SI1,3,8033
0.4,Ideal,5,D,VVS1,7,1279
0.41,Very Good,3,F,VS2,5,863
0.51,Ideal,5,G,VVS1,7,1893
1.0,Premium,4,H,SI2,2,3584
1.09,Ideal,5,F,VVS2,6,10196
0.39,Good,2,E,VS1,4,1082
0.72,Premium,4,E,VS2,5,3024
1.14,Very Good,3,E,SI2,2,5593
0.3,Ideal,5,D,VS2,5,710
0.3,Ideal,5,H,SI1,3,465
0.71,Very Good,3,H,SI1,3,2188
1.22,Very Good,3,H,SI2,2,5192
1.53,Ideal,5,H,SI2,2,9562
0.5,Premium,4,F,VS2,5,1436
0.42,Ideal,5,G,VS2,5,1087
1.22,Ideal,5,H,SI1,3,6727
0.3,Ideal,5,I,VVS1,7,552
0.25,Ideal,5,G,VVS2,6,525
0.33,Very Good,3,H,VS1,4,579
1.2,Ideal,5,G,SI1,3,6741
0.7,Ideal,5,G,VVS2,6,3205
0.31,Premium,4,F,VS2,5,802
0.41,Ideal,5,F,VS2,5,1107
0.9,Ideal,5,E,SI2,2,3200
1.44,Good,2,G,I1,1,5987
0.7,Good,2,G,SI1,3,2218
0.35,Premium,4,E,SI1,3,788
0.54,Premium,4,D,SI1,3,1595
1.71,Very Good,3,F,VS2,5,13818
1.01,Premium,4,F,VS2,5,6244
0.43,Ideal,5,G,SI2,2,935
0.71,Ideal,5,E,VS2,5,3304
0.32,Very Good,3,F,VS2,5,602
1.13,Ideal,5,G,VS2,5,6891
0.91,Premium,4,E,SI2,2,3639
1.02,Very Good,3,E,SI1,3,5278
0.36,Ideal,5,E,VS1,4,1094
0.3,Premium,4,G,VS1,4,776
0.3,Ideal,5,G,IF,8,863
0.77,Ideal,5,I,SI1,3,2475
0.4,Ideal,5,H,VS1,4,815
0.7,Very Good,3,I,VVS1,7,2513
0.4,Very Good,3,E,VVS2,6,1075
0.58,Ideal,5,F,SI1,3,1401
1.01,Premium,4,E,SI1,3,5656
1.3,Premium,4,F,SI1,3,8164
0.34,Ideal,5,D,I1,1,413
0.33,Ideal,5,E,VVS2,6,802
1.22,Premium,4,E,SI2,2,6121
0.26,Ideal,5,F,VS1,4,452
0.57,Premium,4,I,VVS1,7,1608
1.01,Premium,4,F,SI2,2,4137
0.31,Ideal,5,H,VS1,4,544
1.01,Ideal,5,J,VS2,5,4617
0.51,Fair,1,H,VS1,4,1234
0.42,Ideal,5,D,VVS2,6,1210
0.31,Very Good,3,I,SI1,3,408
0.28,Very Good,3,F,VVS1,7,642
0.42,Very Good,3,G,VS2,5,854
0.5,Ideal,5,E,SI1,3,1555
0.79,Ideal,5,E,VS1,4,4240
1.03,Ideal,5,G,SI2,2,4928
0.73,Ideal,5,G,VVS1,7,4182
1.01,Very Good,3,D,SI2,2,4606
1.12,Ideal,5,G,VS2,5,6774
2.01,Premium,4,I,VS2,5,17826
0.36,Ideal,5,E,VS2,5,718
1.0,Fair,1,H,VS1,4,5460
1.51,Good,2,G,VS2,5,11640
0.8,Very Good,3,E,SI1,3,3293
0.53,Premium,4,F,VS2,5,1753
2.09,Very Good,3,I,VS1,4,18215
1.01,Fair,1,G,SI1,3,4004
0.58,Premium,4,I,VVS1,7,1636
0.7,Very Good,3,D,VS1,4,3247
1.0,Very Good,3,F,VS1,4,6098
0.36,Ideal,5,D,SI1,3,626
1.1,Ideal,5,E,I1,1,3872
1.0,Ideal,5,E,SI2,2,4760
0.56,Fair,1,E,SI2,2,1389
0.96,Very Good,3,D,SI2,2,3480
0.37,Premium,4,E,VS2,5,692
0.92,Ideal,5,D,SI1,3,5779
0.33,Ideal,5,H,IF,8,959
0.51,Good,2,G,SI2,2,1129
0.77,Ideal,5,D,VS1,4,4039
0.41,Premium,4,F,VVS2,6,1192
0.44,Premium,4,E,SI2,2,1028
1.24,Premium,4,F,SI1,3,7162
0.57,Very Good,3,E,SI2,2,1384
0.39,Premium,4,G,VVS2,6,1024
0.6,Ideal,5,F,VS1,4,2142
0.8,Premium,4,F,SI2,2,2447
1.01,Ideal,5,F,SI1,3,5486
0.71,Ideal,5,I,SI1,3,2319
0.29,Very Good,3,G,VVS1,7,607
0.38,Very Good,3,D,SI1,3,701
0.91,Very Good,3,J,SI1,3,2905
0.51,Ideal,5,G,VS2,5,1450
0.77,Premium,4,H,VS2,5,2546
1.58,Premium,4,J,SI1,3,7654
0.51,Ideal,5,F,VS2,5,1431
0.33,Ideal,5,F,VVS1,7,1141
0.7,Ideal,5,E,SI1,3,3330
1.51,Ideal,5,E,SI1,3,11628
0.3,Premium,4,J,SI2,2,405
1.09,Premium,4,E,SI2,2,5127
1.23,Ideal,5,I,VVS2,6,7256
0.5,Ideal,5,I,SI1,3,1076
0.71,Premium,4,E,SI1,3,2554
0.72,Ideal,5,E,VS2,5,2691
0.33,Premium,4,G,VS1,4,854
1.52,Very Good,3,I,VS1,4,9576
1.23,Ideal,5,G,VS1,4,9116
0.54,Ideal,5,G,VVS2,6,1829
0.32,Ideal,5,F,VS2,5,828
1.31,Premium,4,E,SI1,3,8767
1.11,Ideal,5,D,SI2,2,5648
1.03,Very Good,3,H,SI2,2,4283
0.56,Ideal,5,J,VS2,5,1131
1.29,Very Good,3,H,SI2,2,5601
0.53,Ideal,5,G,VS2,5,1577
1.7,Premium,4,I,VS2,5,11257
0.3,Ideal,5,F,VS1,4,615
0.32,Premium,4,H,VVS2,6,828
1.51,Good,2,H,VS2,5,10763
0.43,Ideal,5,E,SI1,3,1016
0.3,Very Good,3,G,VS1,4,620
3.0,Good,2,E,I1,1,11548
0.75,Ideal,5,J,SI2,2,1944
0.9,Very Good,3,H,VVS2,6,4617
0.58,Very Good,3,D,SI1,3,1785
1.01,Very Good,3,H,SI1,3,4619
0.3,Good,2,F,VS2,5,484
0.79,Ideal,5,E,SI1,3,3053
0.71,Ideal,5,G,SI1,3,2233
1.01,Premium,4,G,SI1,3,4525
1.01,Very Good,3,D,VVS2,6,10453
1.01,Very Good,3,H,VS1,4,5687
1.2,Premium,4,G,VS2,5,7795
0.27,Very Good,3,D,VS1,4,470
0.56,Ideal,5,I,VVS1,7,1616
0.41,Ideal,5,E,VVS1,7,1431
0.72,Ideal,5,F,VVS2,6,3740
0.55,Ideal,5,D,SI2,2,1363
0.41,Premium,4,D,SI1,3,1015
0.3,Very Good,3,E,IF,8,1026
1.01,Ideal,5,G,VVS2,6,8252
0.4,Very Good,3,E,SI2,2,611
0.4,Premium,4,F,SI1,3,920
0.31,Very Good,3,H,SI1,3,446
0.39,Premium,4,G,VS2,5,787
0.71,Very Good,3,H,SI1,3,2210
1.11,Ideal,5,E,SI2,2,5262
1.02,Ideal,5,F,VS2,5,6479
0.33,Very Good,3,E,VS1,4,886
2.2,Premium,4,G,SI1,3,18193
2.02,Fair,1,H,SI2,2,14080
0.56,Very Good,3,F,SI1,3,1436
1.08,Ideal,5,D,VS1,4,9545
1.51,Premium,4,G,SI1,3,10739
1.15,Very Good,3,G,SI1,3,5538
1.25,Premium,4,I,VS2,5,5975
0.4,Ideal,5,G,VVS1,7,995
0.76,Premium,4,E,SI2,2,2688
1.01,Premium,4,E,VS1,4,7964
1.2,Premium,4,I,SI2,2,4989
1.34,Premium,4,J,VS2,5,5778
0.34,Premium,4,G,VS2,5,596
0.53,Ideal,5,F,SI1,3,1363
0.35,Very Good,3,G,IF,8,1001
0.23,Good,2,E,VVS1,7,462
1.0,Good,2,F,VS2,5,5606
2.04,Premium,4,H,SI2,2,15760
1.01,Very Good,3,I,SI1,3,4794
0.31,Very Good,3,H,IF,8,778
0.41,Good,2,I,VS1,4,969
1.11,Premium,4,F,VS2,5,7179
1.05,Premium,4,E,SI2,2,4939
0.51,Good,2,E,VS2,5,1424
0.38,Ideal,5,E,VVS2,6,1073
0.35,Ideal,5,I,SI2,2,580
0.72,Very Good,3,F,VVS2,6,3338
0.3,Ideal,5,E,SI1,3,499
0.31,Very Good,3,F,VS2,5,625
1.05,Ideal,5,G,VS2,5,7070
0.38,Premium,4,I,VS2,5,812
1.0,Premium,4,F,VS1,4,7056
0.32,Very Good,3,I,VS2,5,449
0.55,Very Good,3,D,SI2,2,1401
0.56,Premium,4,D,VS2,5,1963
0.31,Premium,4,F,SI1,3,663
0.33,Ideal,5,G,IF,8,946
1.72,Premium,4,H,SI2,2,10869
1.01,Premium,4,E,VS1,4,6670
2.02,Ideal,5,J,SI1,3,12713
1.05,Ideal,5,E,VS1,4,9160
0.24,Ideal,5,F,VVS2,6,540
